forum_id,forum_name,topic_id,title,views,replies
51,Новониколаевск,17942,Фотографии... ?,138,4
51,Новониколаевск,17902,Горюшкин Первые жители Новониколаевска(1893—1894гг.),61,1
51,Новониколаевск,375,Военный городок,13365,170
51,Новониколаевск,657,"ул.Чаплыгина, 53. Доходный дом.",1467,40
51,Новониколаевск,5377,"Дом на Асинкритовской улице (ул. Чаплыгина, 75)",1469,18
51,Новониколаевск,3611,"Городской торговый корпус (Красный проспект, 23)",21928,392
51,Новониколаевск,1716,Склады Нобеля (Нобелевская 16),1813,46
51,Новониколаевск,1233,Казённый винный склад,2930,44
51,Новониколаевск,890,Спасательная станция,3072,46
51,Новониколаевск,10104,Лагерь военнопленных в Ново-Николаевске (1-я Мировая война),13419,233
51,Новониколаевск,441,Мельница Н.А. Туркина (Алтайской фабрично-промышленной компании),4172,84
51,Новониколаевск,116,Мясохладобойня,8161,154
51,Новониколаевск,78,"Богородско-Глуховская мануфактура - Главпочтамт (ул. Советская, 33)",6800,131
51,Новониколаевск,1491,Жилые дома работников ж/д станции Алтайской железной дороги,1051,11
51,Новониколаевск,6,Богородице-Казанская церковь,880,4
51,Новониколаевск,1467,"Контора инженера Г.М.Будагова (ул. Большевистская, 7)",5317,135
51,Новониколаевск,17642,Городская богадельня...???,313,11
51,Новониколаевск,13153,"Подлинный день рождения Новосибирска.27 февраля 1893 г., или 11 марта",1105,33
51,Новониколаевск,17549,Тайны томской (и не только томской) охранки,640,29
51,Новониколаевск,1741,"Салтыкова-Щедрина, 122",1798,32
51,Новониколаевск,670,"Чаплыгинский ""тупик"" (Чаплыгина, 104 - снесён)",982,12
51,Новониколаевск,17552,Торговые бани Аносова И.И. (Александровская 22-Серебренниковская 18),636,28
51,Новониколаевск,4088,Коммунистическая 3,694,10
51,Новониколаевск,15388,Общественный сад на месте Коммерческого клуба,4463,114
51,Новониколаевск,17577,Водокачка и баня на Обдорской 38,557,12
51,Новониколаевск,1344,Два дома на ул. Переселенческой (ул. 1905 года),1742,20
51,Новониколаевск,15189,Путевая казарма Алтайской ж.д.,1782,26
51,Новониколаевск,2573,Железнодорожная ветка от Алтайской ж.д. до военного городка,3015,46
51,Новониколаевск,4056,Дом И.Ф. Ларина на углу улиц Гудимовской и Александровской,1059,20
51,Новониколаевск,20,Почтово-телеграфная контора на ул. Болдыревской (угол с Дворцовой),3035,47
51,Новониколаевск,1192,"Просто красивый дом (ул. Инская, 7)",2406,35
51,Новониколаевск,1562,"Дом на ул. Чехова, 78",1159,21
51,Новониколаевск,409,Жиркомбинат,5285,102
51,Новониколаевск,17556,Торговые бани З.Ф. Асмус на углу Александровской-Спасской,452,15
51,Новониколаевск,926,Гимназия Смирновой на Асинкритовской (Чаплыгина),1974,23
51,Новониколаевск,17557,Дом Петровских на Кабинетской,211,5
51,Новониколаевск,895,Домик с ул. Александровской (ул. Мичурина 6),3352,49
51,Новониколаевск,2960,Дома на Колыванской,820,26
51,Новониколаевск,626,Базарная площадь,8503,148
51,Новониколаевск,1819,Столбики из прошлого,3977,71
51,Новониколаевск,668,Фёдоровские бани,5905,76
51,Новониколаевск,81,"Железнодорожная школа (ул. Владимировская, 10)",5861,58
51,Новониколаевск,2190,"1-я Лодочная, 10",1673,46
51,Новониколаевск,17490,Февральская революция в Новониколаевске: события февраля-марта 1917 г.,102,1
51,Новониколаевск,2117,Церковь в честь Воскресения Христова (Старокладбищенская),1943,28
51,Новониколаевск,7,"Красные казармы (ул. Владимировская, 2)",14879,207
51,Новониколаевск,121,Военно-сухарный завод,4742,63
51,Новониколаевск,37,Село Кривощёково,22403,813
51,Новониколаевск,2412,Водонапорная башня № 1 при станции Обь (ул. Движенцев),1301,13
51,Новониколаевск,15719,Ломки гранита у Кривощекова близ Оби...???,600,10
51,Новониколаевск,17461,Адресные знаки,78,0
51,Новониколаевск,660,"Арестный дом (ул. Щетинкина, 62)",1978,15
51,Новониколаевск,17338,Старейшая библиотека Новониколаевска,455,14
51,Новониколаевск,10848,Проект Народного дома,612,7
51,Новониколаевск,17401,9 марта 1917 г. состоялось орг.собрание профсоюза домашней прислуги,107,2
51,Новониколаевск,17347,Фотографии чехословаков 1919,192,4
51,Новониколаевск,17282,"Журнал ""Сибирь"", выпускавшийся в Новониколаевске в 1925-1926",138,2
51,Новониколаевск,511,"Дом Туркина Н.А.  (Фабричная, 19)",2511,32
51,Новониколаевск,1089,"Жилой дом по ул.Салтыкова-Щедрина, 5",910,10
51,Новониколаевск,17261,Фото из франц.архива вероятно от фр.фотографа сопровожд чехов в Сибири,566,12
51,Новониколаевск,16,Костел св. Казимира,7011,88
51,Новониколаевск,770,Пивоваренные заводы Ново-Николаевска,9907,156
51,Новониколаевск,788,"Дом П. М. Зедайна на ул. Гудимовская (Коммунистическая, 45)",1983,45
51,Новониколаевск,2855,Фото белочехов в Новониколаевске,966,12
51,Новониколаевск,15720,"Кривощёково, 1895 г. Фотоальбом проф. А.А. Иностранцев",2582,47
51,Новониколаевск,1757,"Ногина 10/2, 10/3",1029,20
51,Новониколаевск,1068,"Кривощековская, 15",1134,10
51,Новониколаевск,3836,"Жилой дом на ул. Чаплыгина, 47",642,15
51,Новониколаевск,17185,Кирпичная стена на улице Коммунистической,913,25
51,Новониколаевск,4753,"Дом Р.М. Копылова (ул. 1905 года, 33 - ул. Красноярская, 112)",1356,14
51,Новониколаевск,21,"Отель ""Метрополитэнъ"" на Дворцовой (ул. Революции, 4)",5887,78
51,Новониколаевск,2652,"Деревянный особняк (Чаплыгина, 65)",1604,19
51,Новониколаевск,1299,Дачи за речкой Ельцовкой,1731,24
51,Новониколаевск,681,Тюрьма на Александровской улице.,3719,36
51,Новониколаевск,82,Добровольное пожарное общество,3969,66
51,Новониколаевск,3006,Временное водосооружение станции Обь,1071,19
51,Новониколаевск,965,"Смешанный двухэтажный дом (ул. Потанинская, 10а)",808,15
51,Новониколаевск,3614,Гостиница Гранд-Отель на Асинкритовской,1219,31
51,Новониколаевск,1116,"Дом Жерновкова Г.И. на Асинкритовской (ул. Чаплыгина, 34)",3819,61
51,Новониколаевск,17115,"Съезд управляющих имениями Алтайского округа, г. Барнаул, 1907 г.",381,9
51,Новониколаевск,1167,"Жилые дома Горохова и Казберук (ул. 1905 года, 13 и 15)",3573,64
51,Новониколаевск,3575,"Дом на ул. Чаплыгина, 45",935,13
51,Новониколаевск,1416,Дом инвалидов,5630,112
51,Новониколаевск,3402,"Дом Т.Е. Тетерина, не Тоторина (ул. Ядринцевская, 19)",1436,22
51,Новониколаевск,1117,Кривощековский-Обский Переселенческий пункт,4387,76
51,Новониколаевск,17075,"Дом Самохина К.А. на Переселенческой (1905 года, 1-Дм. Шамшурина, 100)",737,24
51,Новониколаевск,99,"Дом Сурикова на Николаевском (Красном, 22) проспекте",2381,51
51,Новониколаевск,3617,Дом № 14 по ул. 1905 г. (бывш. Переселенческой),1530,40
51,Новониколаевск,1072,ул. Мостовая,3363,46
51,Новониколаевск,17005,Однодневная перепись 1905 года,117,1
51,Новониколаевск,3661,Водоподъёмное здание (ул. 2-я Сухарная Береговая),954,9
51,Новониколаевск,18,Новониколаевское реальное училище,7803,81
51,Новониколаевск,1490,"Дом по ул.Грибоедова, 48а",767,12
51,Новониколаевск,15177,Дом переездного сторожа Алтайской ж.д.,1473,27
51,Новониколаевск,1600,Территория Кожзавода,3842,60
51,Новониколаевск,532,Лабазы на Базарной площади.,3183,52
51,Новониколаевск,86,Улица Кузнецкая  (Улица Ленина),9227,122
51,Новониколаевск,14185,31 августа 1910 года Новониколаевск посетил П.А. Столыпин.,419,4
51,Новониколаевск,16744,1925 год.,209,1
51,Новониколаевск,16472,"Новое исследование дома ул. Сибирская, 47",1031,22
51,Новониколаевск,778,"Дом купца Ф.Д.Маштакова (Красный проспект,9/ул.Свердлова, 15)",4995,50
51,Новониколаевск,964,"Дом Куклина Е.К. (ул. Каинская, 13)",901,6
51,Новониколаевск,16557,Усадьба Маштаковых Г.Д. и Н.Н. (угол Николаевского пр. и Воронцовской),1319,39
